iter,host_ns,dev_ns
1,50278,15659
2,55092,20496
3,46892,7482
4,46602,11027
5,59199,16988
6,36204,5622
7,76251,37473
8,64037,28570
9,39274,5468
10,50784,17614
11,54838,19008
12,66231,27163
13,66032,22878
14,101943,25460
15,149088,52489
16,129706,45923
17,126195,45606
18,119635,31945
19,123094,41422
20,152170,53390
21,121139,32308
22,124389,42134
23,125856,34239
24,118638,37610
25,100045,20063
26,87083,18604
27,148368,47700
28,124558,47259
29,119741,33004
30,133750,53918
31,127956,49511
32,132892,50717
33,121268,42627
34,121070,46094
35,126779,49936
36,114848,43176
37,79454,1996
38,112205,35720
39,78356,12976
40,159349,71267
41,141825,58031
42,146486,54170
43,121585,36033
44,89284,33124
45,100638,40813
46,96924,43489
47,121564,65125
48,88608,35911
49,101693,51989
50,169447,106378
51,91466,35371
52,86996,30956
53,90071,40812
54,86402,38433
55,111657,60739
56,130627,77821
57,93053,43126
58,182821,130842
59,62173,16018
60,87654,32190
61,155655,107162
62,81121,31427
63,91508,39866
64,92866,37690
65,87207,39923
66,89281,37945
67,75666,24805
68,137123,49508
69,130400,41184
70,121479,35920
71,112433,31196
72,156036,71638
73,116263,37839
74,109371,34408
75,138784,50593
76,84224,19025
77,119666,30409
78,115127,39863
79,171190,76791
80,133496,48117
81,212190,116481
82,107996,19536
83,113465,29612
84,116421,33021
85,123408,38161
86,134981,47184
87,135242,38119
88,106715,29036
89,132951,22819
90,126704,57060
91,140660,46878
92,125981,38561
93,99611,17656
94,107815,17951
95,122762,34451
96,139210,47693
97,169302,62436
98,89149,13539
99,115919,38897
100,184359,104929
101,149288,47374
102,134272,25962
103,158818,10425
104,156523,76035
105,128181,34857
106,106459,29303
107,107552,37036
108,106785,24386
109,115036,33622
110,100802,17215
111,122524,45720
112,113480,41015
113,103798,34579
114,106937,43854
115,111839,32878
116,119954,61723
117,103138,36638
118,114771,38012
119,108147,37124
120,122463,43532
121,182959,107556
122,105355,32952
123,117960,38735
124,134812,67717
125,119079,34679
126,163307,78101
127,131554,54759
128,125153,47018
129,90430,17627
130,135226,58477
131,84376,18033
132,103964,38265
133,161388,83150
134,116663,35442
135,125098,45507
136,112378,35131
137,97409,23739
138,105139,40768
139,105803,39790
140,99092,32251
141,117612,36066
142,121941,41740
143,137394,50203
144,91138,19412
145,116169,42175
146,103151,29580
147,113442,40306
148,138120,49537
149,117935,35256
150,144433,57735
151,117948,39395
152,97779,26514
153,113239,37154
154,131026,46298
155,124765,45929
156,102435,32367
157,122388,45628
158,106021,39816
159,118878,39272
160,136043,54175
161,110807,41382
162,93436,27336
163,128201,59208
164,111604,38750
165,119504,46236
166,126118,53765
167,127281,48417
168,174743,105257
169,112748,43929
170,107391,37843
171,218327,153405
172,123689,57777
173,87099,16062
174,114959,39944
175,115192,51864
176,116922,42672
177,127560,49240
178,103665,27111
179,113469,38681
180,137230,69588
181,106856,35344
182,93053,22039
183,96377,28094
184,157171,84360
185,102391,34752
186,95023,24038
187,105947,38300
188,100395,31721
189,123820,48886
190,103445,25270
191,125017,52273
192,155821,91136
193,77783,19515
194,146336,71280
195,110299,35109
196,113417,46018
197,115421,38495
198,125550,46091
199,108106,32985
200,92887,17536
