iteration,host_ns,device_ns
1,82609,32838
2,51017,10116
3,64532,18327
4,73352,26321
5,225632,64221
6,259260,68524
7,288172,103083
8,314207,62427
9,376992,144372
10,371267,170811
11,262424,109237
12,538831,261589
13,339026,72448
14,357782,112269
15,288281,21915
16,364597,104908
17,265362,95911
18,353437,72476
19,386569,99006
20,318235,70561
21,393195,117758
22,396964,151270
23,587622,383274
24,288521,33878
25,207402,60400
26,531397,286892
27,247080,29233
28,282926,87522
29,295104,112023
30,263546,18243
31,300345,85409
32,221546,3792
33,359524,99131
34,386932,159094
35,423919,213692
36,213727,4037
37,328751,105534
38,340574,72112
39,458281,140634
40,419676,139206
41,331480,180605
42,308138,102032
43,233756,11060
44,370722,97439
45,606648,242936
46,364845,118170
47,369690,104020
48,333612,94490
49,375034,91584
50,350410,90716
51,506442,147262
52,368471,98011
53,412213,127472
54,399168,88547
55,436498,253099
56,289089,96860
57,329550,133012
58,326215,50182
59,757788,408960
60,371085,86094
61,326278,124974
62,291053,50445
63,236288,58224
64,195841,27141
65,364836,83949
66,314974,73426
67,305127,50136
68,439700,192875
69,495801,153659
70,344557,68082
71,472248,81428
72,356922,115902
73,621041,236013
74,400872,40804
75,455158,81703
76,345791,112422
77,430861,122659
78,308662,80639
79,233033,6673
80,320200,45687
81,435679,59963
82,214472,67638
83,370532,108585
84,478788,60945
85,326550,46000
86,436309,101996
87,402874,72344
88,299220,108924
89,421284,88294
90,218010,36986
91,368703,91715
92,339919,30069
93,401897,229215
94,380861,164437
95,304767,59542
96,417452,70167
97,543651,333865
98,340390,13730
99,282110,74172
100,348850,84807
101,299412,53574
102,399866,99687
103,356848,70143
104,217106,15286
105,415759,119789
106,235950,68964
107,297830,73132
108,325122,61970
109,506073,3652
110,268111,37663
111,360630,91739
112,365407,104702
113,479647,199999
114,291948,35279
115,281974,16979
116,601969,13068
117,351407,53072
118,635382,349391
119,358096,84146
120,364342,125232
121,243959,3780
122,353962,98167
123,289913,43662
124,311124,10322
125,321854,131638
126,885792,595113
127,298290,82931
128,152931,35613
129,108779,32009
130,135118,44156
131,117232,38115
132,146682,71084
133,141897,26288
134,311603,85179
135,373880,129265
136,443897,72016
137,369955,122333
138,267759,44672
139,287373,5251
140,465848,89117
141,413559,98590
142,422499,121292
143,263614,52183
144,451292,212812
145,551378,156421
146,278193,88167
147,309336,61265
148,241346,3778
149,196444,4059
150,449352,158690
151,257431,41574
152,271449,11802
153,396920,43423
154,331374,65820
155,1190825,951145
156,308393,136531
157,226826,126533
158,113625,29189
159,108384,17004
160,128959,38657
161,106394,32188
162,88349,1601
163,131408,39171
164,336726,120227
165,285867,57187
166,257122,74321
167,286091,114686
168,258229,70940
169,277811,75081
170,244787,79386
171,303918,54198
172,269412,78128
173,258666,78188
174,275882,85064
175,460408,240481
176,223990,67690
177,282407,108715
178,326858,125470
179,306883,91978
180,272204,101629
181,343257,97251
182,481411,238586
183,368958,77614
184,389216,120802
185,290553,53772
186,425609,74506
187,334965,174830
188,364858,105487
189,509572,146198
190,417026,159670
191,300777,75903
192,316582,83266
193,333487,141340
194,268813,59792
195,329657,115842
196,377976,146480
197,368145,109877
198,300774,79059
199,388881,96910
200,285490,74008
